C04DS1X83 general
#customize_kendepo
1 :nanndato: 2
2 :majikayo: 1
3 :man-bowing: 1
4 :sob: 1
5 :woman-raising-hand: 1

#cost_marketing

#talk-cats

#kaizen

#prj-kintai-replace

#customize-newbalance

#notify-fax

#yappli-update
1 :tada: 145
2 :ami: 117
3 :congratulations: 77
4 :saikouchiku: 64
5 :sparkles: 59

#customize-proactive

#dev_mmu_2018

#customize-shiseidou

#to-sales-invoice

#customize-nuskin

#team-ui-ux

#team-regional-control

#c

#talk-tech-news
1 :+1: 28
2 :sugoi: 27
3 :eyes: 22
4 :god: 15
5 :soregaii: 14

#customize-sekimiki

#times-haya
1 :kusa: 103
2 :kawaii: 101
3 :wwww: 46
4 :sorena: 45
5 :full_moon_with_face: 25

#customize_technopro
1 :arigato: 1
2 :inemuri: 1
3 :man-bowing: 1

#prj-tangerine

#fukuoka-general

#cs-se_stampcard
1 :man-bowing: 3
2 :todo: 3
3 :woman-gesturing-ok: 3
4 :bow: 2
5 :ami: 1

#tmp-yakuin-lunch-320

#customize-naughtydog
1 :+1: 11
2 :raising_hand: 7
3 :bow::skin-tone-2: 6
4 :congratulations: 6
5 :man-bowing::skin-tone-2: 4

#team-td-and-se
1 :woman-gesturing-ok: 75
2 :arigato: 19
3 :man-bowing: 17
4 :tada: 16
5 :+1: 12

#k_b

#to-開発相談
1 :man-bowing: 17
2 :woman-gesturing-ok: 14
3 :bow: 8
4 :arigato: 5
5 :ami: 4

#prj-yapplisdk

#osaka-cs3

#prj-ac-sst

#customize

#karte-yappli

#customize-recruit
1 :man-bowing: 7
2 :sasugada: 4
3 :arigato: 2
4 :man-gesturing-ok: 2
5 :pray: 2

#note-oshiro

#tmp-next-ypd

#team-insidesales
1 :woman-raising-hand: 45
2 :sasugada: 36
3 :arigato: 28
4 :+1: 24
5 :sugoi: 21

#notify-github-ios
1 :pray: 14
2 :done: 3
3 :goisuu: 2
4 :yarimasu: 2
5 :airplane_departure: 1

#expo
1 :arigato: 9
2 :+1: 6
3 :tea: 6
4 :yattane: 6
5 :muscle: 5

#prj-b-dash

#times-yumi

#talk-manga
1 :kusa: 15
2 :god: 12
3 :sigoto: 9
4 :sorena: 7
5 :wakaru: 7

#tmp-improve-salesphon

#can_test

#analytics

#customize-tomato
1 :man-bowing: 18
2 :+1::skin-tone-2: 9
3 :man-bowing::skin-tone-2: 6
4 :arigato: 5
5 :heavy_check_mark: 5

#team-pdm

#app-preparation
1 :woman-gesturing-ok: 23
2 :man-bowing: 12
3 :pray: 9
4 :+1: 7
5 :arigato: 5

#customize-edwin
1 :arigato: 8
2 :naruhodo: 3
3 :woman-bowing: 3
4 :muscle: 2
5 :raised_hands: 2

#talk-nail

#push

#customize-seiyu
1 :man-bowing: 11
2 :woman-gesturing-ok: 8
3 :tada: 7
4 :pray: 6
5 :bow: 3

